Nom De L'application,Prix,Catégorie,Developpeur,Date De Sortie,Description
aquarium 4k live wallpaper,1.99,Personnalisation,rolling coders,1/17/2020 11:08:11 PM,"With Aquarium 4K Live Wallpaper you will see the awesomeness of a wonderfoul Aquarium, with full details, you will be able to relax while enjoying the view of this splendid Aquarium.

The application will start in full screen mode, so you can se it as screensaver, just leave it open, you can also use it in window mode."
IGES & STEP Viewer,15.99,Productivité,BovioSoft,2/8/2021 3:44:41 PM,"Quickly view IGES and STEP model files, export them to popular CAD file formats.

App Features:
- Open IGES and STEP files.
- Export to STL, DXF, OBJ, 3DS, DAE, PLY, OFF.
- Can load large models, as big as 1 GB.
- Load a model from a ZIP file.
- Batch export files from one format to another.
- Option to load and render model Curves.
- Adjust model triangulation parameters for solids and curves definition.
- Control rendering options for shaded, facets, points, colors & transparency.
- Render using a clipping plane (useful for viewing interiors).
- Measure distances between points within your model.
- Hide surfaces selecting them by point & click.
- Obtain info on the model: bounding box, total volume, area, etc.
- Graphic operations for Rotating, Panning, Zooming, etc.
- View your model in Orthogonal or Perspective mode.

Please contact us for support, questions, feature request or any other inquiry.
support@boviosoft.com"
MK. Player,5.99,Utilitaires et outils,WindyWarmStudio,9/6/2022 6:23:50 AM,"Ceci est un lecteur vidéo.
 
Il prend en charge la lecture vidéo de divers formats sur le marché, tels que 3GP, AVI Divx, F4V, FLV, MKV, MP4 et d'autres formats vidéo massifs.
 
Il a plus de dix fonctions telles que le glissement des sous-titres, le texte clair, la lecture vidéo, les gestes, le verrouillage des enfants, etc. En même temps, il a également une fonction de décodage puissante, qui obtient automatiquement le package de décodage correspondant à partir d'Internet, vous permettant pour obtenir une meilleure expérience audiovisuelle.
 
Les fonctions riches rendent les utilisateurs plus lisses lors de la lecture de vidéos."
LocoGPT LLM- AI Chatbot on Your Device,2.99,Utilitaires et outils,parmata,11/18/2023 1:56:51 AM,"**Note: You need to download an large language model (LLM)  to use this app.**
**Note: You will need a PC that has CPU supports AVX2 to use this app.**

LocoGPT LLM is a fun and innovative app that lets you chat offline with an AI agent that uses a large language model (LLM) of your choice. You can have a casual conversation, ask a question, or request some imaginative and innovative content such as poems, stories, code, essays, songs, celebrity parodies, and more. The AI agent can understand and communicate fluently in your language of choice, using its own words and knowledge.

## Features

- Offline chat session that uses a large language model (LLM) of your choice
- Choose from three different chat modes and configurations: Balanced, Creative, and Precise, or customize to suit your mood and preference
- Ask the LLM to generate imaginative and innovative content such as poems, stories, code, essays, songs, celebrity parodies, and more using its own words and knowledge
- Request the LLM to help you with writing, rewriting, improving, or optimizing your content
- Customize inference and model parameters to fine-tune the output and performance of the app for example Temperature, TopP, TopK, RepeatPenalty, MaxTokens, RepeatLastTokensCount, Prompt Template, Anti Prompts
- Choose your models folder from your computer
- Able to customize prompt template and anti-prompts
- Customize the app’s appearance with Mica, Mica Alt, Acrylic, or Dynamic Shader Animation backgrounds

## Models

You can browse and download pre-selected LLMs or bring your own .gguf model file. The app supports gguf file format and can run LLM models well even without GPU or not enough GPU memory. The app also supports Nvidia Cuda 11 and 12 GPU and AVX2 CPU.

To download more models, you can go to https://huggingface.co and find .gguf to suit your needs. For example, you can check out these models:

- [OpenBuddy]: https://huggingface.co/OpenBuddy - A multi-language model that can chat in English, Spanish, French, German, Italian, Portuguese, Dutch, Polish, Russian, Turkish, Arabic, Hindi, Chinese, Japanese, and Korean.
- [TheBloke]: https://huggingface.co/TheBloke - A popular model that can generate various types of content such as poems, stories, code, essays, songs, celebrity parodies, and more."
iPerf Network Speed Test Benchmark,0.99,Productivité,MCEBuddy,3/21/2023 5:28:03 PM,"Test and benchmark the local network/WiFi performance using iPerf in server or client mode. 
 - Benchmark the network/WiFi transmit throughput speed from a single computer
 - Test the network/WiFi communication speed between 2 computers on the network
 - Test local machine memory data bus speed (localhost test)
 - Test a single connection or multiple connection network performance"
Phone Call Pro,4.99,Affaires,GMT Software,3/9/2023 3:42:24 AM,"Phone Call Pro is a Windows app that allows you to make phone calls on your computer. With this app, you can easily stay connected with friends, family, and colleagues, without having to switch between your phone and computer.

* NOTE: This application is for Australian users only. Will not work outside of Australia."
Micro Authenticator - Two Factor (2FA) app,9.99,Sécurité,SecurityDevelopment,8/9/2022 10:08:25 AM,"Micro Authenticator  is a portable for Windows that provides counter or time-based RFC 6238 authenticators and common implementations, such as the Google Authenticator. Micro Authenticatorcan be used with many Bitcoin trading websites as well as games, supporting Battle.net (World of Warcraft, Hearthstone, Heroes of the Storm, Diablo), Guild Wars 2, Glyph (Rift and ArcheAge), WildStar, RuneScape, SWTOR and Steam."
Flash Player Pro‘,4.89,Utilitaires et outils,Weila Studio,5/23/2023 9:09:55 AM,This is a lightweight and simple application that helps you open and watch Flash videos with just one click of a button.
MP4 to MP3 & MP4 Video Converter,4.99,Photo et vidéo,IO Stream,11/23/2022 1:47:24 AM,"Convert MP4 to MP3 - M4A to MP3.
• Also convert M4B, M4P, M4R to MP3.
• And MP4 to WAV, MOV, MKV, AVI, WMV, WEBM, MXF, M4V, ASF, VOB, OGV, FLV, AAC, OGG, FLAC, M4A, M4B, CAF, AIFF, WMA, AC3, MP2.

💡 Convert multiple files at once, there's no limit to how many files.
🔒 All processing is performed locally on your computer where your files remain safe and private.

Optimize output file size and audio, video quality;
Buy once and keep forever;

## CORE FEATURES

Convert MP4 to MP3 and more output formats:
• AAC, OGG, FLAC, M4A, M4B, CAF, WAV, AIFF, WMA, AC3, MP2.

Convert MP4 to MOV, MKV, AVI and more output formats:
• MOV, MKV, AVI, WMV, WEBM, VOB, MXF, M4V, ASF, OGV, FLV.

## OPTIMIZE OUTPUT VIDEOS

Convert MP4 to MP3 (convert MP4 to Audio)
• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Audio codec options.
• Audio number of channels options.
• Audio sample rate options.
• Audio bitrate options.

Not only a MP4 video, audio converter, but also optimize size and quality output videos.
• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Video resolution options: 4K (2160p), 2K (1440p), Full HD (1080p), HD (720p), SD (480p, 360p, 240p).
• Video framerate options.
• Video video codec options.
• Video bitrate options.
• Audio number of channels options.
• Audio sample rate options.
• Audio codec options.
• Audio bitrate options.

## COMMON FEATURES

• Enable hardware acceleration to save time.
• Auto shutdown when completed.
• Save time with multiple files processed at once or focusing on a single video."
Fond d'écran en direct 3d Earth ·,1.99,Utilitaires et outils,Better Me Studio,2/16/2023 3:28:21 AM,"Il s'agit d'un logiciel combiné d'économiseur d'écran 3D et de papier peint en direct.
Il permet à la Terre entière, des milliards d'étoiles et de galaxies d'être affichées à l'écran.
Vous pouvez démarrer le logiciel en plein écran et l'utiliser comme économiseur d'écran 3D.
Vous pouvez également démarrer et activer le mode de papier peint en direct dans une petite fenêtre."
Radio : Hits,5.89,Divertissement,Dev Crafts,11/7/2023 12:04:07 PM,"""Radio : Hits"" is the ultimate Windows app for music enthusiasts seeking a dynamic and diverse listening experience. With a simple click, users are transported into a world of global melodies, as the app delivers an array of random music channels from across the globe. From chart-topping hits to hidden gems, ""Radio : Hits"" curates a seamless stream of music, making every day feel like a musical adventure. Whether you're discovering new sounds or relishing familiar tunes, this app ensures that Mondays and every day are infused with the rhythm of discovery. Immerse yourself in the world's musical tapestry with ""Radio : Hits"" and let the melodies of the world be your constant companion."
Puissant Scanner LAN IP,2.29,Social,Gorgeous,8/2/2023 5:54:49 AM,"Le scanner LAN IP puissant est un excellent outil. Il vous permet de numériser rapidement les adresses IP et d'accès aux dossiers partagés, de détecter et de visualiser l'état des ordinateurs. Cet outil présente des avantages de scanners IP avancés comme une interface facile à comprendre, sans problème, extrêmement puissant, fiable et donne des résultats rapides."
AVI to MP4 - AVI to MP3,4.99,Photo et vidéo,IO Stream,11/23/2022 2:40:33 AM,"Convert AVI to MP4 - Convert AVI to MP3.
Also convert AVI to MOV, MKV, WMV, WEBM, MXF, M4V, ASF, VOB, OGV, FLV, AAC, OGG, FLAC, M4A, M4B, CAF, WAV, AIFF, WMA, AC3, MP2.
💡 Convert multiple files at once, there's no limit to how many files.
🔒 All processing is performed locally on your computer where your files remain safe and private.

Optimize output file size and video quality;
Buy once and keep forever;

## CORE FEATURES

Convert AVI to MP4 and more output formats. Support output video formats:
• MOV, MKV, AVI, WMV, WEBM, VOB, MXF, M4V, ASF, OGV, FLV.

Convert AVI to MP3 and more output formats. Support output video formats:
• AAC, OGG, FLAC, M4A, M4B, CAF, WAV, AIFF, WMA, AC3, MP2.

## OPTIMIZE OUTPUT VIDEOS

Not only a AVI to MP4 converter, but also optimize size and quality output videos.
• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Video resolution options: 4K (2160p), 2K (1440p), Full HD (1080p), HD (720p), SD (480p, 360p, 240p).
• Video framerate options.
• Video video codec options.
• Video bitrate options.
• Audio number of channels options.
• Audio sample rate options.
• Audio codec options.
• Audio bitrate options.

Convert AVI to MP3 (convert AVI to Audio)
• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Audio codec options.
• Audio number of channels options.
• Audio sample rate options.
• Audio bitrate options.

## COMMON FEATURES

• Enable hardware acceleration to save time.
• Auto shutdown when completed.
• Save time with multiple files processed at once or focusing on a single video.
• Keep PC awake while processing."
Crosshair Designer,8.99,Utilitaires et outils,Joseph Walsh,11/17/2022 7:09:14 AM,"The Crosshair Designer is a desktop application for Windows 10/11 that allows you to design highly customized crosshairs (or, ""reticles"") and use them while playing full-screen PC games. The Crosshair Designer works alongside a free companion widget for the ""XBOX Game Bar"" available on the Microsoft Store (called ""Crosshair Designer Overlay""). If you haven't used the XBOX Game Bar, don't worry, it's free, super simple to use, and is a part of Windows 10/11 that is purpose-built just for this sort of overlay.

The Crosshair Designer provides a high level of customizability, so that you can setup crosshairs that work well for you.

For example, you may want to:
- Quickly create a super simple and tiny dot-sight
- Meticulously adjust your crosshairs to replicate a specific crosshair you loved from some game
- Design a really big crosshair that makes it look like you're looking through a big scope.

This software allows you to do all of those things.

Another cool feature of the Crosshair Designer is that it allows you to have a ""dynamic"" crosshair - that is, a crosshair that changes/reacts to your mouse inputs. You can define what you want to happen to the crosshair as you use your mouse.

For example, maybe you want:
- Your crosshair to get a bit wider or change color when you hold down the left mouse button
- Your crosshair to change to have very fine/thin ""legs"", with a high-contrast center dot when you are ""aiming down sights"".

This software allows you to customize that. However, if you want a ""static"" crosshair (i.e., it doesn't change based upon mouse input), you can absolutely set it up that way, too.

Why not use ______ instead?

You have other options:
[list][*]In-game crosshair customization (if your game allows it)
[*]Other third-party software
[*]Some clever approach of your own (maybe an NVIDIA overlay or stamp)[/list]

Why not just use one of those options?
- Many games don't allow much, if any, customization of crosshairs
- Coming up with your own approach (like using an NVIDIA utility) may just not work with your game
- Other software may restrict what you can create. For example, you may be limited to rather small crosshairs, or limited in the amount of complexity, details, fine-tuning, and adjustments you can make to your crosshairs.
- Other software may not allow you as much ability to create ""dynamic"" crosshairs, especially if you want to have different crosshairs for different ""states"" (e.g., a different crosshair for ""not shooting"", ""shooting"", ""aiming down sights"", and ""shooting while aiming down sights"").

About the XBOX Game Bar and companion widget

One important thing to note though is that you need to install the companion widget that operates in the XBOX Game Bar. The widget is totally free and is custom-designed to work with this desktop application. Also, in my opinion, the ""game bar"" is the primary way of displaying overlays on modern Windows operating systems (10/11), especially for overlays meant to work with full-screen PC games.

There are other ways of displaying overlays, but I think some of them are ""risky"" - for example, they may involve ""hooking"" into DirectX in order to render a crosshair on top of a full-screen game. My concern with those other approaches is that there may be a risk of it triggering anti-cheat software, because the anti-cheat software would see some external application ""messing around"" too closely with your game.

Instead, I think the game bar overlay approach will tend to ""just work"" and be ""safer"", as it is a part of Windows 10/11 that is meant just for this sort of use case. And, from an anti-cheat software perspective, it's no different from displaying a little music or PC performance widget in the overlay. Further, this software isn't ""talking to"" your games or interacting with them in any way. It's simply rendering your custom crosshairs and, if you want it to, reacting to your mouse inputs (independently of your games)."
Paint:Master,6.99,Éducation,Dev Crafts,11/7/2023 11:58:46 AM,"""Paint:Master"" is your creative canvas on Windows, designed for unleashing your artistic imagination. This simple yet versatile paint tool lets you doodle, draw, and have fun with colors and designs. Whether you're an aspiring artist or just looking to unwind with some creative play, ""Paint:Master"" offers an easy-to-use platform to create beautiful artwork and express your inner artist. Dive into a world of colors, unleash your creativity, and master the art of digital painting with this user-friendly app."
Rain 4K Relaxing Live Wallpaper,1.99,Personnalisation,rolling coders,1/27/2020 9:29:21 PM,"With Rain 4K Live Wallpaper you will see the awesomeness of a wonderfoul Rain with relaxing sounds and with full details, you will be able to relax while enjoying the view of this splendid Rain.

The application will start in full screen mode, so you can se it as screensaver, just leave it open, you can also use it in window mode."
Multi-Miracast-Pro,2.79,Utilitaires et outils,DJoker,9/22/2023 8:03:24 AM,"Using this app, you can mirror the screens of Android and Windows 8+devices on your PC.
Main features 
1. Wireless connection
2. Cast window no limit
3. Inversion of Control
4. The screen stream is smooth and not stuck
5. Support for PIN codes"
RX-Explorer (WAS),2.49,Utilitaires et outils,Ruo_Fan,1/20/2023 12:00:07 PM,"RX-Explorer est un puissant explorateur de fichiers. Cette application est basée sur la version UWP et refactorisée à l'aide de WinAppSdk et WinUI3. RX-Explorer (UWP) ne recevra plus de mises à jour de fonctionnalités, mais vous pouvez toujours continuer à le télécharger et à l'utiliser comme vous le souhaitez. Les utilisateurs qui ont acheté le RX-Explorer (UWP) peuvent obtenir directement la licence de cette application. La version d'essai peut utiliser la plupart des fonctions et sans limite de temps, et l'achat est considéré comme prenant en charge les développeurs individuels.

Présentation des fonctionnalités:
• Certaines visionneuses de base intégrées
• Prise en charge intégrée des fonctions de compression et de décompression Zip, Tar, Gz
• Prise en charge du partage de fichiers via Bluetooth ou WIFI
• Prend en charge plusieurs onglets et plusieurs processus
• Prend en charge le remplacement de l'Explorateur Windows
• Prise en charge des lecteurs réseau, des périphériques USB et des périphériques MTP
• Fonctions d'édition d'image, de recadrage et de filtrage
• ""Vertical Split View"" pour la manipulation simultanée de plusieurs dossiers dans un seul onglet*
• Prise en charge de l'aperçu Quicklook et de la recherche Tout *
• Une ""zone sécurisée"" où les fichiers sont conservés et cryptés*

Système de personnalisation :
• Fond acrylique
• Image d'arrière-plan Bing
• Fond de mica
• Arrière-plan de l'image

(* Indique que vous devez acheter cette application pour déverrouiller cette fonction, ces fonctions n'affecteront pas les fonctions normales ou il existe des alternatives)"
WMA to MP3 - WMA to,4.99,Musique,IO Stream,12/21/2022 4:49:04 PM,"Convert WMA audio to MP3, AAC, OGG, FLAC, M4A, M4B, CAF, WAV, AIFF, WMA, AC3, MP2 .
💡 Convert multiple files at once, there's no limit to how many files.
🔒 All processing is performed locally on your computer where your files remain safe and private.

Optimize output file size and video quality;
Buy once and keep forever;

## CORE FEATURES

Convert WMA to MP3 and more output formats.

Support output audio formats:
• MP3
• AAC
• OGG
• FLAC
• M4A
• M4B
• CAF
• WAV
• AIFF
• WMA
• AC3
• MP2 

## OPTIMIZE OUTPUT AUDIO

• Auto mode: keep all default settings or auto choose the best suitable configurations.
• Audio codec options.
• Audio number of channels options.
• Audio sample rate options.
• Audio bitrate options.

## COMMON FEATURES

• Enable hardware acceleration to save time.
• Auto shutdown when completed.
• Save time with multiple files processed at once or focusing on a single audio.

________________________________________

Visit our official site at https://www.iostream.vn/wma-to
Privacy Policy: https://www.iostream.vn/io/io-apps-privacy-policy-D13wF2
If you require any further information, feel free to contact us: developer@iostream.vn"
PDF to docx (OCR) Converter PRO & Editor,2.99,Productivité,sayoapps,11/12/2021 5:25:34 PM,"PDF to docx (OCR) Converter is the latest and best ever PDF Converter and Editor to make your work simple and fast. With this app you can convert any PDF document to .docx or .rtf. Just in a few clicks your PDF document is converted to editable files. And you can opt to OCR technique to convert a scanned PDF document to editable format such as Word. Drag and Drop multiple files or folders. Supports fast and batch conversions. And you can also edit PDF document in this app. With editor you can add text or shapes, highlight, fill form and many more.
Enjoy unlimited conversions with this secured offline application !
Note: This app is not compatible on Windows 10 S mode."
The Caffeine,1.49,Utilitaires et outils,Twenty One Team,4/9/2019 11:24:13 AM,"The Caffeine - la meilleure application garder éveillé pour votre PC. L'application vous aide à des tâches de longue durée comme le rendu, le téléchargement et l'exploitation minière. La caféine est une application simple et minuscule qui vous rendra la vie plus facile.

⭐ Caractéristiques ⭐

✔ Gardez votre PC éveillé pour les tâches de longue durée.
✔ Eteignez votre PC veille après un certain temps.
✔ Temps personnalisé pour rester éveillé et à l'arrêt.
✔ Facile à utiliser.
✔ Faible entretien.
✔ Sombre et thèmes légers.
✔ Icône de la barre de personnalisation."
Audio Joiner,0.99,Conception multimédia,"AnywaySoft, Inc.",7/4/2019 5:19:47 AM,"Audio Joiner is a useful tool to trim and merge mp3 and other audio files.

Features:
1. Trim and merge audio files such as mp3 into a single audio file.
2. Support audio formats such as mp3, m4a, wav, flac, aac, wma.
3. Support most popular output audio formats including mp3, m4a, flac, wav.
4. Display waveform graphs of the input audio files.
5. Able to preview the trimmed audio clips before join them together.
6. Easy to use."
sMedio True DVD,12.99,Divertissement,sMedio Inc.,12/5/2018 2:28:29 AM,"sMedio True DVD is a DVD player on Windows 10 based on the universal Windows platform. You can enjoy your premium DVD titles (commercial discs), homemade DVD titles and DVD video recording in the DVD-Video and DVD-VR format with sMedio True DVD.

You can check the PC and device compatibility with 7 days free trial. 

Playback available
- Commercial DVD-Video titles
- CPRM DVD discs which are burned by BD/DVD recorder.

Note : The following discs are not supported.
- Commercial BD titiles.
- BDAV discs which are tuned by BD recorder.
- AVCHD DVD discs
- CD medias such as VCD/SVCD, and Musics CD
- Other than CD/DVD/BD media above."
Desktop Verses - Daily Bible Verses,1.99,Divertissement,Evlar,1/26/2023 1:12:22 PM,"DesktopVerses provides you with daily bible verses right on your desktop, so you can get the inspiration you need quickly and easily! You can customize how frequently you get different verses, fonts, styling, and more. Easily visible no matter what wallpaper you have.

Features include
- Custom font colors and sizes to suit your style
- Compatible with all fonts installed on your system
- Automatically starts up with windows
- and more!"
RetroMenu,0.99,Personnalisation,Husky Estudio Soft,4/19/2023 6:10:43 AM,"With RetroMenu, you can customize your Windows 11 contextual menu to a retro-style with options such as copy, paste, and rename, in a text format similar to the old-style menu in Windows 10. RetroMenu provides a user-friendly experience for users who are not familiar with the default Windows 11 menu, enabling quick access to favorite tools and options. Enhance your contextual menu experience with RetroMenu now!"
Bluetooth Mouse Driver,4.99,Affaires,AC Software,3/23/2022 2:29:19 AM,Connect your Bluetooth Mouse to your Windows PC.
CanoScan - Driver,3.99,Affaires,vMaxApps,9/6/2023 3:20:10 AM,"CanoScan - Driver for Windows PC provides a CanoScan Scanner driver solution.

Once the scanner is connected, it will work automatically to download CanoScan scanner drivers and fix all corrupted, outdated and missing CanoScan scanner drivers on your system.

Features:
- Automatic CanoScan Scanner Driver Fetching and Installation.
- This is a fast and light-weight CanoScan scanner driver updater app."
MyMeta,3.49,Photo et vidéo,bizmodeller,12/12/2012 5:42:33 PM,"MyMeta is a powerful metadata editor for MP4, M4V and MOV video files for Windows 10, 8.1 and 8.  MyMeta allows you to tag all your media files so that their information appears correctly in your favorite media player or streaming device.  Optimised for iTunes and Apple TVs.

MyMeta integrates seamlessly with leading internet metadata providers including TheMovieDB.org, TheTVDB.com and tagChimp to allow you to search for metadata and DVD artwork for your movies and TV episodes.

MyMeta also provides an 'AutoTag' feature that allows you to select a set of media files and to automatically set their metadata and cover art based on the best match search result available from the internet.  This allows you to tag your media collection rapidly with minimum effort.  AutoTag also allows you to select all episodes of a TV series and set entire series metadata in just a few clicks!

NB: MyMeta only works on MP4, M4V and MOV video files - we may support other file formats in the future."
Cartes Pro,4.99,Utilitaires et outils,Nicollet Fabien,10/16/2012 3:47:22 PM,"Maps Pro (Cartes Pro) est l'application cartographique la plus avancée du Store Windows. Calcul d'itinéraire, Street View, géolocalisation, points d'intérêt, cartes hors-ligne et un moteur de recherche performant en une seule application, disponible dans le monde entier.

Ajoutez vos fichiers: Cartes Pro permet d'ouvrir vos fichiers KML, KMZ, GPX et GeoJSON et vous permet aussi d'enregistrer votre trajet au format GPX.

Cartes hors-ligne: Cartes Pro utilise les dernières technologies pour afficher des cartes vectorielles pendant que vous êtes hors-ligne. Téléchargez toute la donnée d'un pays et vous serez ensuite capable de rechercher des adresses, d'afficher des points d'intérêt et de calculer des itinéraires avec guidage vocale même sans connexion Internet.

Créer de superbes cartes: Cartes Pro vous permet de changer le style de votre carte en choisissant parmi plus de 20 styles de cartes dont Nokia, ESRI, MapBox, Stamen, OpenStreetMap (OSM) et Bing Maps. Créez des cartes personnalisées et ajoutant des superpositions comme le Google Traffic, les chemins de randonnées ou les restrictions camion.

Géolocalisation: Votre position est automatiquement détectée par Cartes Pro, par votre adresse IP (PC de salon), votre GPS (tablette) ou par un Bluetooth GPS. Cartes Pro est la seule appliation du Windows Store compatible avec les GPS Bluetooth externes!

Calcul d'itinéraire: Cartes Pro vous aide à trouver votre chemin avec son puissant moteur de calcul d'itinéraire. Calculer votre itinéraire à partir d'une adresse, de votre géolocalisation ou depuis des coordonnées et obtenez des instructions de voyages détaillées (avec guidage vocal) et re-calcul automatique si vous ratez un virage. Grâce aux cartes hors-ligne, Cartes Pro sait aussi vous guider même sans connexion Internet.


Points d'intérêt (POI): Choisissez parmi plus de 80 catégories de Points d'intérêt comme les restaurants, cinémas, bars, stations essence, etc.

Choisissez votre fournisseur de données: Choisissez parmi Google Maps, OpenStreetMap (OSM) ou Baidu (Chine uniquement).

Street View: Accédez à Google Street View en plein écran HD.

Si vous voulez remplacer Microsoft Street And Trips abandonné par Microsoft, Cartes Pro est la meilleure solution de substitution.

Cartes Pro est utilisé par des milliers d'utilisateurs dans le monde: randonnées en Allemagne, préparation de rally en Suède, visualisation de projets immobiliers en Afrique du Sud, planification de voyage en camping en Grande Bretagne, trekking en Mongolie et périple en mobile-home aux Etats-Unis sont juste quelques exemples d'utilisation de Cartes Pro!

Essayez Cartes Pro gratuitement pendant 7 jours!"
Batch Convert HEIC Images,6.99,Productivité,YongWenHu,9/11/2023 4:46:26 AM,"This App can help you batch convert Heic/Heif formats to Jpg, Jpeg, Png, Tiff, Bmp, Pdf, Svg and other formats.
Select multiple Heic/Heif images at once for batch conversion, complete locally and offline, safe and efficient.

Convert Heic/Heif format pictures to the picture format you need, which solves the trouble that Windows users cannot view and open Heic/Heif format pictures on the computer.

The converted file is saved in the folder you chose. 
One-time purchase and lifetime access to unlimited conversions and upgrades. No subscriptions, no feature limitations."
Floating Clock of Desktop,0.99,Productivité,Solid Workshop,1/14/2020 2:32:20 PM,"Floating Clock of Desktop is a kind of software that can be placed on the computer desktop. The clock software can display the current time information anywhere on the screen, accurate to seconds. At the same time, the clock software also has many skin effects, which can meet the user's personalized demand for time."
MP4 Smart Player Pro,5.99,Utilitaires et outils,MEGA IT SOLUTIONS,5/4/2017 5:00:23 AM,"Instant MP4 Video Player that plays .mp4 files smoothly. it takes less CPU usage while rendering HD video graphics

Features

1. Super fast Instant Play
2. Lag free play High memory file size
3. Compact Look
4. Easy to use"
IME Status,0.99,Productivité,TNK Software(Tanaka Yusuke),2/10/2018 5:53:23 AM,"This is an utility software which displays valid / invalid state of current input method as an icon. It functions on extensive applications. Icons can be fixed not only on the cursor side but also on the desktop or active window.

It may not work properly with browsers other than Microsoft Edge or games with its own interface. There is no expiration date for this, so please try the free version first."
PyKit - JupyterLab & Notebook manager,4.99,Outils de développement,CoderLearn,9/19/2022 9:23:29 AM,"The easiest way to get Jupyter Notebook (IPython), JupyterLab and Voilà working on Windows 10/11. This package pre-includes Python, Jupyter Notebook, JupyterLab and Voilà that are ready to run.

If you are finding it difficult to install Python, IPython, Notebook, Jupyter or Voilà, this app is for you. Just click 'Get' from Microsoft Store and your Windows will be ready to learn or research with Python.

This app includes:
- Python 3.10.7
- Jupyter Notebook (IPython) 6.4.12
- JupyterLab 3.4.6
- Voilà 0.3.6
- A GUI to start and stop Notebook, JupyterLab or Voilà

Python is licensed under the PSF License Agreement (https://docs.python.org/3/license.html). Python is a trademark of the Python Software Foundation: https://www.python.org/psf/
Jupyter Notebook, JupyterLab, Voilà are licensed under 3-Clause BSD License. Jupyter is a trademark of Project Jupyter’s origins and governance: https://jupyter.org/about

This app doesn't support Windows 10S"
Audio Media Conversion Tool,1.99,Productivité,Roxy,9/4/2018 10:19:36 PM,"Audio Media Conversion Tool fonctionne avec différents types de formats audio et vidéo. L'application vous permet de convertir facilement l'audio (mp3, mp4, wma, wav, ogg, aif, etc ...) et la vidéo en tramsform (avi, 3gp, flac, mkv, etc ...) en audio. Vous pouvez également utiliser les options avancées de conversion, qui permettent d’améliorer la qualité du son et de réduire les pistes audio. Un design convivial, clair et pratique rend le travail avec l'application facile et compréhensible.

Liste complète des formats disponibles pour la conversion:
aif > aac, ac3, aiff, flac, m4a, mp3, wav, wma, ogg
aifc > aac, ac3, aiff, flac, m4a, mp3, wav, wma, ogg
aiff > aac, ac3, flac, m4a, mp3, wav, wma, ogg
amr > aac, ac3, aiff, flac, m4a, mp3, wav, wma, ogg
au > aac, ac3, aiff, flac, m4a, mp3, wav, wma, ogg
caf > aac, ac3, aiff, flac, m4a, mp3, wav, wma, ogg
m4a > aac, ac3, aiff, flac, mp3, wav, wma, ogg
m4b > aac, ac3, aiff, flac, mp3, m4a, wav, wma, ogg
mp3 > aac, ac3, aiff, flac, m4a, wav, wma, ogg
oga > aac, ac3, aiff, flac, mp3, m4a, wav, wma, ogg
ogg > aac, ac3, aiff, flac, mp3, m4a, wav, wma
voc > aac, ac3, aiff, flac, mp3, m4a, wav, wma, voc
wav > aac, ac3, aiff, flac, mp3, m4a, wav, wma, voc
wma > aac, ac3, aiff, flac, mp3, m4a, wav, wma, ogg
3g2 > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
3gp > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
3gpp > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
aifc > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma 
avi > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
cavs > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
dv > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
dvr > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
flac > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
flv  > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
m4v > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
mkv > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
mod > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
mpeg > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
mpg > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
mts > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma 
rm > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
rmvb > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma 
ts > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
vob > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
wmv > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
wtv > aac, ac3, aifc, flac, m4a, mp3, ogg, wav, wma
sfark > sf2"
Mirror for HTC Vive,4.99,Affaires,PlayTime Apps,11/10/2021 5:42:24 AM,"Mirror your Windows PC to your HTC Vive.

* Compatible with all HTC models"
